file_name,classID,classname
a1.wav,0,a
a2.wav,0,a
a3.wav,0,a
a4.wav,0,a
a5.wav,0,a
a6.wav,0,a
a7.wav,0,a
a8.wav,0,a
a9.wav,0,a
a10.wav,0,a
a11.wav,0,a
a12.wav,0,a
a13.wav,0,a
a14.wav,0,a
a15.wav,0,a
a16.wav,0,a
a17.wav,0,a
a18.wav,0,a
a19.wav,0,a
a20.wav,0,a
a21.wav,0,a
a22.wav,0,a
a23.wav,0,a
a24.wav,0,a
a25.wav,0,a
a26.wav,0,a
a27.wav,0,a
a28.wav,0,a
a29.wav,0,a
a30.wav,0,a
a31.wav,0,a
a32.wav,0,a
a33.wav,0,a
a34.wav,0,a
a35.wav,0,a
a36.wav,0,a
a37.wav,0,a
a38.wav,0,a
a39.wav,0,a
a40.wav,0,a
a41.wav,0,a
a42.wav,0,a
a43.wav,0,a
a44.wav,0,a
a45.wav,0,a
a46.wav,0,a
a47.wav,0,a
a48.wav,0,a
a49.wav,0,a
a50.wav,0,a
a51.wav,0,a
a52.wav,0,a
a53.wav,0,a
a54.wav,0,a
a55.wav,0,a
a56.wav,0,a
a57.wav,0,a
a58.wav,0,a
a59.wav,0,a
a60.wav,0,a
a61.wav,0,a
a62.wav,0,a
a63.wav,0,a
a64.wav,0,a
a65.wav,0,a
a66.wav,0,a
a67.wav,0,a
a68.wav,0,a
a69.wav,0,a
a70.wav,0,a
a71.wav,0,a
a72.wav,0,a
a73.wav,0,a
a74.wav,0,a
a75.wav,0,a
a76.wav,0,a
a77.wav,0,a
a78.wav,0,a
a79.wav,0,a
a80.wav,0,a
a81.wav,0,a
a82.wav,0,a
a83.wav,0,a
a84.wav,0,a
a85.wav,0,a
a86.wav,0,a
a87.wav,0,a
a88.wav,0,a
a89.wav,0,a
a90.wav,0,a
a91.wav,0,a
a92.wav,0,a
a93.wav,0,a
a94.wav,0,a
a95.wav,0,a
a96.wav,0,a
a97.wav,0,a
a98.wav,0,a
a99.wav,0,a
